"","lambda1","lambda2","sd","p1"
"1",0.0870368562145037,0.239786037487743,0.0122398483545496,0.504766165202537
"2",0.0611356323423765,0.173114859445565,0.015043513852743,0.535452156876457
"3",0.0497302278263683,0.141940887299638,0.0162470829003107,0.522950804841825
"4",0.0601787138736375,0.176134510279992,0.0144445560601871,0.492937003061185
"5",0.0357628567758155,0.108659840051962,0.0193405108217526,0.521200683886969
"6",0.0423217559518527,0.126884121346586,0.0184931858358631,0.478502491134577
"7",0.0760629548886699,0.213807292125696,0.013200330874187,0.519250575909172
"8",0.0338120782181541,0.094341202628755,0.0194531746356426,0.570248897296232
"9",0.049517026503035,0.144043199133085,0.0163996562272172,0.49039720302091
"10",0.0353807615528483,0.104532643727365,0.0193495633471115,0.5483112159265
"11",0.0649663008315291,0.196855044462105,0.014677422329469,0.539519414415115
"12",0.045756778566621,0.134378879680208,0.0175426697196984,0.519971604760436
"13",0.0466396593488258,0.139925790187035,0.0169644484246823,0.524529999100576
"14",0.110720936345431,0.315458188070613,0.01083879174056,0.502155779395066
"15",0.097725306930284,0.269577791572548,0.0114289303008907,0.51947927334853
"16",0.110075178726924,0.333391792606641,0.0110366578069996,0.502107707264389
"17",0.0837133962869732,0.230914399308171,0.0120226741828754,0.500737961851139
"18",0.0513901516167731,0.160671771500589,0.017192121876761,0.53087051882384
"19",0.0653068575663632,0.184631885347468,0.0134468053739258,0.541689927861932
"20",0.143898189996951,0.386269554316321,0.00910704396545927,0.525789404746518
"21",0.0381795031971594,0.112328976800152,0.0195346509011642,0.532873912601345
"22",0.0402642863806384,0.116019018658172,0.0185804140737526,0.532280352734202
"23",0.112673640724386,0.30537918863113,0.0103624155902519,0.500701310345019
"24",0.0731802529054346,0.205427451765678,0.0128598052909168,0.498069977986809
"25",0.0364219540415441,0.102289284437854,0.0184665903901639,0.461603070116321
"26",0.0853681304539524,0.242617451326454,0.0124809798030931,0.472596354522152
"27",0.0359319567258675,0.108169530068159,0.0193952647927839,0.500572123058671
"28",0.0794469612418739,0.221645630182979,0.0130071813294566,0.501592375711133
"29",0.114254606913036,0.306163765085439,0.0103119659256937,0.500027599792948
"30",0.0943218850355421,0.268556873265104,0.0118178052538692,0.58500379818818
"31",0.115010335889122,0.351100481127041,0.0109631670376437,0.518195290186354
"32",0.0362877944424299,0.116614429576148,0.0211797129854248,0.554867746650246
"33",0.0705703553269422,0.206224932244847,0.0139582631975854,0.496190194791663
"34",0.111283902970872,0.302669930615438,0.0104285808284314,0.535729838983773
"35",0.0586667343731541,0.172266104801629,0.0149778380977488,0.534493911761275
"36",0.0507721885816049,0.152612538100887,0.017233534333839,0.520982444795201
"37",0.0610551824995134,0.179388952732606,0.015323417836433,0.446050429737229
"38",0.0538619819021528,0.153260149854214,0.0158684219437559,0.505441706564083
"39",0.0558876959709684,0.171544295286915,0.0160700168622851,0.549567301623733
"40",0.0641011869930852,0.188107832397515,0.0145179527340568,0.515756681830786
"41",0.0590185513511657,0.165297021877473,0.0150152351784217,0.492646312579428
"42",0.0638761830858422,0.1777249378277,0.0139330153932542,0.480746985440354
"43",0.0801019883244562,0.225833384654973,0.0125523841458141,0.515722396634895
"44",0.0681818759420859,0.204616260208886,0.0151208416536336,0.541353335311359
"45",0.0819054911399554,0.227762458772301,0.0118922763612017,0.45161198953467
"46",0.0392433796622186,0.109865430727185,0.018508849299031,0.510458627572514
"47",0.0945446267519113,0.272664248095654,0.0120044990740067,0.497839962633711
"48",0.114456539222116,0.316642297802983,0.0108551797817768,0.432523663017276
"49",0.0851212918961141,0.236631694583761,0.0124348335706927,0.510734713976629
"50",0.0927785207054886,0.245502881604665,0.0113209131839827,0.564302232771357
"51",0.083676595655132,0.216156576110457,0.0112815032478882,0.485544993431856
"52",0.0188014004151011,0.0716245823529877,0.0298075776250591,0.606668107029549
"53",0.0702332727071832,0.218070175802422,0.0147587938686115,0.561800184330344
"54",0.0382539206096881,0.113881307572665,0.019233707582346,0.537461030816259
"55",0.0625727257455866,0.173348255712816,0.0148719124142239,0.471222943412791
"56",0.046429823567982,0.147206156323744,0.0189612279284376,0.561804283247279
"57",0.0395282391517068,0.120812369003803,0.019376986422659,0.555559152113754
"58",0.0541569426982577,0.166068449991401,0.0165396627293599,0.541662477524267
"59",0.0891502532277391,0.269705652838482,0.0122034578219913,0.513578143107982
"60",0.0406109801661922,0.123291112829353,0.0189046864127964,0.546186396895506
"61",0.0762207550623173,0.214568106720143,0.0126468682544725,0.488746120425404
"62",0.0536492689981562,0.162137964358148,0.0168453711917815,0.526584015197288
"63",0.0492500516127803,0.150296770796993,0.0172290937750339,0.474051310279837
"64",0.140539501800833,0.377037995520861,0.00897314741481398,0.556627087582531
"65",0.109918167392149,0.30308803984506,0.0106190941020437,0.504262487185334
"66",0.136020205249641,0.379048171315841,0.00994017326783004,0.506602206078326
"67",0.0470785995697381,0.148248176063449,0.0173576385819467,0.514207560651212
"68",0.0688388377754217,0.209088318746928,0.0138371650779717,0.492669441087421
"69",0.0490297462842842,0.147563478447053,0.0169112365013836,0.53336916315482
"70",0.0319801788090916,0.0905379514867312,0.020198863328311,0.525215151579126
"71",0.0291419785378669,0.0871981005447089,0.0227499292731231,0.520523314311731
"72",0.0525465923485991,0.159745396117443,0.0170140745388604,0.536143516374058
"73",0.0797339147210441,0.231462101522568,0.012933180216225,0.497993123681835
"74",0.0641670173277112,0.186306024879719,0.0146441130434101,0.445118747991135
"75",0.131401883523034,0.381974010873766,0.0097176792865959,0.534128296500296
