"alpha","beta","phi","r[1]","r[2]","r[3]","r[4]","r[5]","sigma_r","lp__","C"
-3.34352431902555,0.768484550289395,3972.03115276753,0.0398578549792552,-0.020253903890237,0.0243991685449202,-0.0229687106266442,0.00167034239871917,0.0255296468378592,135.987439385679,0.000251696994448035
-3.35036415985047,0.775986148666416,3386.61118599613,0.0259857826858754,-0.0182024439568881,0.0232571206965537,-0.0287540822766056,-0.00331953499466178,0.0231961199565779,132.652927431239,0.000295193263068042
-3.40205385575987,0.78633241259624,3280.84089595921,0.0387556144823988,-0.0289274834285526,0.0226979653325995,-0.0289415769060648,0.000210223066273926,0.017062787128705,131.003554026857,0.000304707032333973
-3.40401540455648,0.786348885530371,3355.83388033807,0.0411113045735363,-0.029060451973329,0.0209177524192874,-0.0301787654116583,0.000853021020711357,0.0172749054740948,128.913562814605,0.000297899757821584
-3.32617094332018,0.781447057676121,1658.03257247532,0.0118608174179072,-0.0307849431018714,0.0107776985992101,-0.0391242208494624,-0.0189427777763615,0.0513190135525226,129.107009227261,0.000602760920183726
-3.29206920299814,0.774088550951659,1801.40565001212,0.0234223124886199,-0.0483332529743083,0.00270674784526737,-0.0509353004187556,-0.015595820790716,0.0498636849112353,127.114608453707,0.000554814061969498
-3.32913807032601,0.779585526838803,1986.90859026839,0.0179022320624805,-0.025242442893358,0.016650324124086,-0.0332648532369938,-0.0129137025809096,0.0510315336363125,129.220712342233,0.000503041238865509
-3.32957028536748,0.791388599573898,2041.24731417431,0.0171245649016648,-0.0454225102579824,0.000626889934299069,-0.0520288483609604,-0.0122790261590909,0.0526737387981782,129.083830306159,0.000489656660610815
-3.32328930028625,0.788931859420917,2025.19383913314,0.0138575960802817,-0.0451345090207109,0.00106319083402254,-0.0462391628167721,-0.0237138624759537,0.0432018575338278,133.565210948551,0.000493536196136015
-3.34757581654296,0.773074440983659,4039.62011638655,0.0317078824506338,-0.0298739640343997,0.0233725777109918,-0.02626587396642,-0.00137126212700952,0.0277343066861084,133.81547061308,0.000247486764703404
-3.33603145716946,0.789706105872192,3946.68490244799,0.0123460043543546,-0.0440102881201517,0.00676779991787819,-0.047725097318092,-0.0205059934407138,0.0186776661653944,132.858742132874,0.000253313023888987
-3.31662495175979,0.769038341343775,2293.78801011706,0.0312403965877363,-0.0231393346839691,0.0210491230941234,-0.0348315801156154,-0.0109531339980854,0.105829907674991,130.569165214733,0.000435770099717833
-3.34344550064556,0.784136664522464,3292.75015270093,0.0259097286691382,-0.0371658842512307,0.0122433880050754,-0.0381720041462402,-0.0166171943853741,0.0808929452360883,132.878694032531,0.00030360529901759
-3.36775856382965,0.787017234778559,3714.10826905141,0.0216188082138715,-0.0288110156321268,0.0135071437908826,-0.0394998541007346,-0.00602051590067979,0.0988742763472157,131.048129341185,0.000269171159379248
-3.28356256637502,0.760535383578858,3170.7395657005,0.0253603422513983,-0.0229099849853156,0.0177764189522403,-0.0318288138902635,-0.00209679371104443,0.0156189693712025,133.504586906745,0.000315284398130949
-3.2876219985477,0.765961267161595,2054.63594117714,0.0277773990961468,-0.0260771639186452,0.0208390119942273,-0.0373171815316322,-0.0110398873439344,0.065670808847966,131.768207537395,0.000486467462437615
-3.28899926156181,0.763259724315304,2087.08563504242,0.0269324450053149,-0.028105243413617,0.0233528299187873,-0.0412191384924103,-0.00965440497228333,0.0651094690564617,130.18252424133,0.000478907561652608
-3.41787004253687,0.791728039483625,2547.41331511718,0.0323118685438724,-0.0265138535590396,0.013354475626833,-0.0284757876800879,0.00000344454195693377,0.0263762333074198,132.296479856694,0.000392401026186766
-3.312278388365,0.777326612612124,2225.51335553851,0.019805552773542,-0.0377478809952835,0.0214853615048656,-0.0387281413325794,-0.0147802903474945,0.0294637043592512,131.120336479327,0.000449132720229355
-3.31248834855662,0.775422988218465,2123.0293360229,0.0229756914766591,-0.0391198117222023,0.0145460317445847,-0.0385534592452352,-0.0143489710476707,0.0331619022802636,134.044795988306,0.000470803290256071
-3.28945816618431,0.75807176284909,3393.13701652688,0.0333111288383464,-0.0221144465693356,0.0231675339123533,-0.0314293572655528,-0.0000103068432773675,0.0379627076673492,135.881176590865,0.000294625701652808
-3.30326463083781,0.766422176865383,2093.03383240199,0.0346211772343868,-0.0267274068949167,0.0141000671581598,-0.0350405384485808,-0.00722917729274763,0.0223771740672222,133.31179301179,0.000477547203166692
