"ID_LogUnit","AGB","MAP","RainSeas","BulkDens","AreaLogUnit"
"COU015",332.684062,3753,44,1.29,160.76627
"COU026",344.4857495,3737.5,45,1.29,148.07373
"COU045",320.001699,3700,45,1.29,106.62963
"COU046",311.234121433333,3697,45,1.29,333.16636
"COU049",345.2848687,3690.16666666667,45.3333333333333,1.29,95.66083
"GRI020",318.298778,3633.33333333333,45.6666666666667,1.44,227.07773
"MAR007",321.146535033333,3723,44,1.43,247.03482
"MAR011",305.627019866667,3705.5,44.75,1.43,259.26397
"MAR012",309.419944,3714,44,1.43,121.11945
"MAR069",328.1501732,3658.5,45,1.44,183.85948
"MAR070",302.52350015,3653.5,45,1.44,154.14646
"MAR079",303.6369315,3650,45,1.44,179.78351
"MTO001",319.3295231,3661.66666666667,45,1.44,354.28611
"RFE011",331.245404,3639.33333333333,46,1.43,416.62197
"RFE029",321.10865685,3596.66666666667,46.3333333333333,1.43,225.59616
"RFE030",324.18718465,3603.5,47,1.43,251.58525
"RFE034",323.11665165,3575,47,1.44,402.67124
"RFE052",352.931358666667,3589.33333333333,46,1.44,225.31594
"RFE057",320.633305,3548.2,46,1.44,398.84044
"RFE062",363.9792623,3546.5,46,1.44,202.28027
"RFE063",325.307937825,3550,46,1.44,273.32069
"RFE067",324.6534839,3533,46,1.44,254.45364
"RFE073",348.7387641,3531.75,47,1.44,298.37556
"RFE077",321.002190383333,3558.16666666667,47,1.44,434.88903
"RFE078",338.06728937,3533.2,47.4,1.44,939.09823
"RFE079",344.292825533333,3520.33333333333,47,1.44,282.67182
"RFE081",320.23407874,3489.8,47.6,1.44,468.39473
"RFE082",330.627206733333,3504,47,1.44,477.10756
"RFE085",345.227680016667,3455.55555555556,47,1.44,660.33
"RFE086",337.89293889,3497.90909090909,47,1.44,998.52613
"RFE087",320.534234666667,3475.5,47,1.44,511.35211
"RFE088",339.1233745,3457.42857142857,47,1.44,573.2968
"RFE089",317.462949716667,3516.57142857143,46.8571428571429,1.44,616.10776
"RFE090",348.117024,3509.625,47,1.44,640.12755
"RFE091",343.27670443,3490.23076923077,47,1.44,1006.78143
