"ID_LogUnit","PlotYr","t0","AreaLogUnit","AreaLogged","VolTot","LogInt","AGB0","MAP","RainSeas","BulkDens"
"ACA005","ACA005_1994",1994,268.85,134.5,807,6,270.284058,2175,48,1.26
"ACA006","ACA006_1994",1994,141.93,71,426,6,258.18831235,2186.5,48,1.26
"ACA016","ACA016_1994",1994,249.21,124.5,747,6,280.8766477,2203.75,47.5,1.26
"ACA017","ACA017_1994",1994,135.79,68,408,6,276.01279415,2226,47,1.26
"ACA018","ACA018_1993",1993,147.4,73.5,441,6,257.3206528,2236,46.5,1.26
"ACA019","ACA019_1993",1993,232,116,696,6,279.910543,2239,46,1.26
"ACA021","ACA021_1990",1990,328.1,164,984,6,272.190171433333,2261,45,1.26
"ACA023","ACA023_1990",1990,184.83,92.5,555,6,294.3253233,2254.66666666667,44.6666666666667,1.26
"ACA024","ACA024_1990",1990,328.42,164,984,6,288.407905575,2261.66666666667,44.6666666666667,1.26
"ACA025","ACA025_1990",1990,150.55,75.5,453,6,287.817444,2279,44.3333333333333,1.4
"ACA026","ACA026_1990",1990,222.93,111.5,669,6,274.74093535,2289,44,1.4
"ACA031","ACA031_1993",1993,179.12,89.5,537,6,281.8576215,2258.33333333333,45.6666666666667,1.26
"ACA032","ACA032_1993",1993,164.3,82,492,6,289.542939,2263.5,45.5,1.26
"ACA033","ACA033_1992",1992,140.36,70,420,6,281.2797167,2293.33333333333,44.3333333333333,1.26
"ACA034","ACA034_1992",1992,222.03,111,666,6,302.1376177,2286.5,44.5,1.26
"ACA038","ACA038_1990",1990,263.48,131.5,789,6,282.389897433333,2305.33333333333,43.3333333333333,1.4
"ACA039","ACA039_1989",1989,141.04,70.5,423,6,283.5038953,2322.5,43,1.4
"ACA040","ACA040_1989",1989,179.24,89.5,537,6,325.994261,2344.5,42.5,1.4
"ACA041","ACA041_1989",1989,248.73,124.5,747,6,296.6178691,2331.66666666667,43,1.4
"ACA045","ACA045_1995",1995,249.69,120,361.4,3.01166666666667,292.572012,2314.33333333333,43.6666666666667,1.4
"ACA046","ACA046_1992",1992,175.5,87.5,525,6,277.58998015,2318.5,44,1.26
"ACA047","ACA047_1992",1992,232.13,116,696,6,286.946472766667,2331,43,1.4
"ACA050","ACA050_1991",1991,216.35,108,648,6,326.74896185,2357,42,1.4
"ACA051","ACA051_1991",1991,163.94,82,492,6,332.482315,2349,42,1.4
"ACA053","ACA053_1991",1991,146.57,73.5,441,6,342.1700641,2383,41,1.4
"ACA054","ACA054_1991",1991,387.35,193.5,1161,6,324.638304,2371.2,41.6,1.4
"ACA056","ACA056_1991",1991,307.84,154,924,6,329.1286595,2364.33333333333,42,1.4
"ACA057","ACA057_1990",1990,129.01,64.5,387,6,284.8377403,2337,43,1.4
"ACA058","ACA058_1990",1990,197.53,99,594,6,279.2438592,2352.66666666667,42.6666666666667,1.4
"ACA059","ACA059_1990",1990,206.05,103,618,6,318.877501666667,2375,42,1.4
"ACA060","ACA060_1990",1990,187.92,94,564,6,324.37425565,2389,41,1.4
"ACA061","ACA061_1990",1990,224.56,112.5,675,6,333.6521108,2384.25,41.25,1.4
"AIM001","AIM001_1980",1980,246.96,123.5,741,6,292.290271766667,2495.66666666667,37,1.29
"AIM002","AIM002_1980",1980,263.32,131.5,789,6,295.031497,2498.66666666667,37,1.29
"AIM003","AIM003_1984",1984,335.02,167.5,1005,6,302.71229,2494.4,37.4,1.29
"AIM004","AIM004_1979",1979,233.36,116.5,699,6,304.934298,2485.66666666667,38,1.29
"AIM005","AIM005_1981",1981,449.62,225,1350,6,299.2788675,2511.5,37,1.29
"AIM006","AIM006_1979",1979,295.54,148,888,6,299.59856865,2505,37,1.29
"AIM007","AIM007_1979",1979,403.8,202,1212,6,301.7794844,2485.33333333333,38,1.29
"AIM008","AIM008_1989",1989,221.33,110.5,663,6,302.3154445,2495.5,37.5,1.29
"AIM009","AIM009_1989",1989,242.87,121.5,729,6,298.708220233333,2508.25,37,1.29
"AIM010","AIM010_1983",1983,238.67,119.5,717,6,299.3105457,2487,38,1.29
"AIM011","AIM011_1983",1983,224.04,112,672,6,286.308608,2497.5,37,1.29
"AIM012","AIM012_1990",1990,392.58,196.5,1179,6,303.430083,2503.4,37,1.29
"AIM013","AIM013_1990",1990,192.46,96,576,6,298.078756666667,2510,37,1.29
"AIM015","AIM015_1991",1991,250.99,125.5,753,6,300.19033585,2504.25,37,1.29
"AIM017","AIM017_1991",1991,216.08,108,648,6,298.204410666667,2505.5,37,1.29
"AIM021","AIM021_1989",1989,350.26,175,1050,6,289.7679745,2520.2,37,1.29
"BAL014","BAL014_2001",2001,254.01,102,567.53,5.56401960784314,281.5789538,3184,51,1.29
"BAL016","BAL016_2003",2003,309.1,122.16,411.85,3.37139816633923,310.936676333333,3173,51,1.29
"BAL016","BAL016_2004",2004,309.1,49.84,168.05,3.37178972712681,310.936676333333,3173,51,1.29
"BAL017","BAL017_2004",2004,262.07,143,150.18,1.05020979020979,304.146044,3181.66666666667,51,1.37
"BAL018","BAL018_1998",1998,381.33,195,417.42,2.14061538461538,297.808375333333,3200.8,51,1.37
"BAL019","BAL019_1998",1998,264.17,75.94,330.06,4.34632604687912,300.117118466667,3202.33333333333,50.6666666666667,1.29
"BAL019","BAL019_2001",2001,264.17,75.06,326.2,4.34585664801492,300.117118466667,3202.33333333333,50.6666666666667,1.29
"BAL020","BAL020_2001",2001,313.03,155,655.36,4.22812903225806,299.400963,3213,50,1.29
"BAL025","BAL025_1984",1984,278.66,139.5,1395,10,289.3847359,3286.75,49.5,1.29
"BAL026","BAL026_1984",1984,224.38,112,1120,10,281.5175143,3267.33333333333,50,1.29
"BAL027","BAL027_1984",1984,260.48,130,1300,10,290.438801,3266.75,49.5,1.29
"BAL028","BAL028_1983",1983,333.13,166.5,1665,10,305.674464566667,3271,50,1.29
"BAL029","BAL029_2001",2001,288.99,155,83.71,0.540064516129032,292.160574175,3228.5,50,1.29
"BAL030","BAL030_1981",1981,274.82,137.5,1375,10,311.8958348,3228.75,50.25,1.37
"BAL031","BAL031_1981",1981,325.51,163,1630,10,297.326071866667,3218,51,1.37
"BAL032","BAL032_1981",1981,316.1,158,1580,10,298.563724966667,3218.5,50.75,1.37
"BAL033","BAL033_1982",1982,162.77,81.5,815,10,287.4433858,3245.5,50,1.37
"BAL034","BAL034_1982",1982,294.12,147,1470,10,306.61160035,3254.25,50,1.29
"BAL035","BAL035_1982",1982,270.7,135.5,1355,10,288.969501566667,3241,50,1.29
"BLA015","BLA015_1985",1985,51.76,26,156,6,294.0466467,2547,36,1.4
"BLA020","BLA020_1985",1985,126.6,63.5,381,6,296.474562,2549.5,35.5,1.4
"BLA021","BLA021_1985",1985,188.91,94.5,567,6,289.8926967,2546,35.6666666666667,1.4
"BLA027","BLA027_1985",1985,174.19,87,522,6,277.427517325,2544,36,1.4
"BLA030","BLA030_1985",1985,124.43,62,372,6,269.0181357,2556,35,1.4
"BLA031","BLA031_1985",1985,163.6,82,492,6,255.675228,2557.5,35,1.4
"BLA032","BLA032_1985",1985,249.8,125,750,6,216.1459723,2548.5,36,1.4
"BLA033","BLA033_1985",1985,197.52,99,594,6,256.01450265,2553.5,35.5,1.4
"BLA035","BLA035_1985",1985,244.41,122,732,6,276.399026427273,2563.66666666667,35,1.4
"BLA043","BLA043_1985",1985,218.7,109.5,657,6,276.225401666667,2570,35,1.4
"BLA044","BLA044_1985",1985,242.08,121,726,6,269.467504233333,2555.5,35.25,1.29
"BLA045","BLA045_1985",1985,390.64,195.5,1173,6,280.17184875,2560.6,35,1.29
"BLA046","BLA046_1985",1985,307.95,154,924,6,299.429776,2562.5,35,1.29
"BLA047","BLA047_1985",1985,273.41,136.5,819,6,282.063597,2565,35,1.29
"BLA048","BLA048_1985",1985,187.65,94,564,6,279.7974311,2573,35,1.4
"BLA049","BLA049_1985",1985,260.56,130.5,783,6,285.8600739,2575.5,35,1.4
"BLA050","BLA050_1985",1985,250.58,125.5,753,6,289.4334087,2573.66666666667,35,1.4
"BLA051","BLA051_1985",1985,226.29,113,678,6,294.5086613,2571.66666666667,35,1.4
"CCO470","CCO470_2018",2018,335.95,176.7,5990.07,33.8996604414261,383.63270725,3410,51,1.21
"CCO471","CCO471_2017",2017,296,13.19,421.75,31.9749810462472,383.3460781,3410.33333333333,51,1.21
"CCO471","CCO471_2018",2018,296,112.06,3583.41,31.9776012850259,383.3460781,3410.33333333333,51,1.21
"CCO473","CCO473_2018",2018,506.67,74.5,1905.5,25.5771812080537,375.314487425,3389.71428571429,51,1.21
"CCO480","CCO480_2017",2017,208.02,69.26,2099.64,30.3153335258446,345.2823333,3420,51,1.21
"CCO480","CCO480_2018",2018,208.02,6.74,204.4,30.326409495549,345.2823333,3420,51,1.21
"CCO481","CCO481_2017",2017,399.63,173,2870.68,16.5935260115607,377.65030894,3430.2,51,1.21
"CCO482","CCO482_2017",2017,237.56,42,610.08,14.5257142857143,350.9364655,3417,51,1.21
"CCO483","CCO483_2016",2016,406.58,7.14,181.86,25.4705882352941,384.817081566667,3449.4,50.6,1.21
"CCO483","CCO483_2017",2017,406.58,141.89,3615.51,25.481076890549,384.817081566667,3449.4,50.6,1.21
"CCO483","CCO483_2018",2018,406.58,57.97,1477.11,25.4805934103847,384.817081566667,3449.4,50.6,1.21
"CCO484","CCO484_2017",2017,262.39,118.01,3434.1,29.1000762647233,372.454160233333,3430.33333333333,50,1.21
"CCO484","CCO484_2018",2018,262.39,9.99,290.78,29.1071071071071,372.454160233333,3430.33333333333,50,1.21
"CCO485","CCO485_2017",2017,441.51,246.21,5569.32,22.620202266358,386.64284824,3446.83333333333,50,1.21
"CCO485","CCO485_2018",2018,441.51,5.79,130.96,22.6183074265976,386.64284824,3446.83333333333,50,1.21
"CCO486","CCO486_2017",2017,434.97,98.96,2962.64,29.9377526273242,344.45464534,3453.83333333333,50,1.21
"CCO486","CCO486_2018",2018,434.97,113.04,3384.3,29.9389596602972,344.45464534,3453.83333333333,50,1.21
"CCO487","CCO487_2017",2017,333.73,24.28,640.14,26.3649093904448,343.033832766667,3476.25,49.5,1.21
"CCO487","CCO487_2018",2018,333.73,124.72,3287.54,26.3593649775497,343.033832766667,3476.25,49.5,1.21
"CCO740","CCO740_2017",2017,210.15,106,1883.72,17.7709433962264,372.7649207,3428.5,51,1.21
"CDF006","CDF006_2005",2005,374.45,207,122.6,0.592270531400966,307.618419333333,2664.8,46.4,1.37
"CDF007","CDF007_2001",2001,278.75,165,445.98,2.70290909090909,315.742223,2658.33333333333,46.3333333333333,1.21
"CDF008","CDF008_2001",2001,350,77.1,794.75,10.3080415045396,317.611819075,2646.6,46.2,1.21
"CDF008","CDF008_2002",2002,350,23.6,243.22,10.3059322033898,317.611819075,2646.6,46.2,1.21
"CDF008","CDF008_2003",2003,350,99.3,1023.54,10.3075528700906,317.611819075,2646.6,46.2,1.21
"CDF009","CDF009_2001",2001,451.4,51.75,784.2,15.1536231884058,320.904570325,2656,46,1.21
"CDF009","CDF009_2002",2002,451.4,67.14,1017.48,15.1546023235031,320.904570325,2656,46,1.21
"CDF009","CDF009_2003",2003,451.4,66.12,1001.99,15.1541137326074,320.904570325,2656,46,1.21
"CDF009","CDF009_2004",2004,451.4,17.25,261.33,15.1495652173913,320.904570325,2656,46,1.21
"CDF009","CDF009_2005",2005,451.4,17.74,268.82,15.1533258173619,320.904570325,2656,46,1.21
"CDF010","CDF010_2001",2001,288.66,149,1588.03,10.6579194630872,313.89423535,2674.25,46,1.21
"CDF011","CDF011_2003",2003,240.53,48.03,97.99,2.04018321882157,320.218330233333,2675,46.5,1.37
"CDF011","CDF011_2004",2004,240.53,78.06,159.25,2.04009736100436,320.218330233333,2675,46.5,1.37
"CDF011","CDF011_2006",2006,240.53,29.1,59.37,2.04020618556701,320.218330233333,2675,46.5,1.37
"CDF014","CDF014_2000",2000,315.15,197,766.18,3.8892385786802,310.084593233333,2684.6,46.2,1.21
"CDF015","CDF015_2000",2000,398.58,170,2273.48,13.3734117647059,305.6780195,2689,45.6666666666667,1.21
"CDF016","CDF016_2001",2001,465.11,254,2642.77,10.4046062992126,314.183706233333,2681.5,45.1666666666667,1.21
"CDF017","CDF017_2012",2012,245.07,102,1192.91,11.6951960784314,322.1569882,2671,45,1.21
"CDF018","CDF018_2002",2002,348.03,84.77,1768.49,20.8622154063938,340.54844134,2649.2,45,1.21
"CDF018","CDF018_2003",2003,348.03,66.64,1390.22,20.8616446578631,340.54844134,2649.2,45,1.21
"CDF018","CDF018_2004",2004,348.03,7.6,158.53,20.8592105263158,340.54844134,2649.2,45,1.21
"CDF019","CDF019_2002",2002,300.31,115.23,2796.3,24.267117938037,324.095987533333,2660.25,45,1.21
"CDF019","CDF019_2003",2003,300.31,20.77,504.12,24.2715454983149,324.095987533333,2660.25,45,1.21
